RowNumber,CustomerId,CreditScore,State,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Complain,Satisfaction Score,Card Type,Point Earned
66,18180447,636,New Hampshire,Female,44,6,8301.04,1,1,1,0,0,3,SILVER,36
67,17337140,767,California,Male,44,6,52301.11,2,1,1,0,0,1,GOLD,387
68,18306853,727,Illinois,Male,44,5,56119.23,2,0,1,0,1,3,GOLD,956
69,18773199,363,Illinois,Female,43,0,69409.66,1,1,0,1,0,5,PLATINUM,320
70,19650985,429,West Virginia,Male,63,1,79523.57,1,0,0,0,0,5,SILVER,445
71,15067894,809,Delaware,Female,45,2,0.0,4,0,0,0,0,5,GOLD,757
72,19851204,453,Arkansas,Male,46,5,171456.62,2,1,1,0,0,3,SILVER,189
73,19207270,416,Nebraska,Female,53,0,164733.21,3,1,0,0,0,5,PLATINUM,97
74,15242236,386,West Virginia,Male,25,3,0.0,1,1,1,0,0,1,SILVER,975
75,18185765,442,Alaska,Female,46,3,0.0,2,0,0,0,0,2,PLATINUM,531
76,19611393,509,New Jersey,Female,35,1,0.0,1,0,1,1,0,3,GOLD,397
77,15406216,629,Washington,Female,38,8,0.0,3,0,1,0,0,5,GOLD,579
78,15581487,467,Nevada,Female,42,8,112265.71,1,1,1,0,0,4,GOLD,962
79,16687280,601,New Hampshire,Male,51,4,7001.23,1,1,0,0,0,5,SILVER,597
80,18443263,611,Alaska,Male,40,9,0.0,3,0,0,0,0,2,GOLD,76
81,15527273,413,Massachusetts,Male,25,6,85963.84,3,1,0,0,1,5,SILVER,790
82,15872461,458,Wisconsin,Female,54,9,125904.88,2,1,1,0,0,2,SILVER,43
83,15769818,542,North Carolina,Female,40,6,66738.74,1,0,1,0,0,4,PLATINUM,189
84,15470860,592,Texas,Female,43,6,63472.59,2,1,0,0,0,3,SILVER,984
85,18831609,573,Arizona,Female,46,7,148179.03,2,0,0,0,0,3,SILVER,398
86,16814318,584,Mississippi,Female,41,6,67051.1,1,1,1,0,0,5,GOLD,257
87,16331631,730,Utah,Female,25,5,0.0,3,0,1,0,0,3,GOLD,725
88,16456412,747,Maryland,Male,34,1,22694.54,4,1,0,1,0,2,DIAMOND,474
89,17146308,627,Colorado,Male,45,6,144489.77,1,1,1,0,0,5,SILVER,582
90,18319485,571,Utah,Female,45,0,133453.07,1,1,1,0,0,4,SILVER,413
91,18411210,630,Arkansas,Female,62,4,56348.7,1,1,1,0,0,2,PLATINUM,15
92,16726067,467,Mississippi,Male,40,2,104876.6,2,1,0,0,0,1,SILVER,286
93,18014918,781,Iowa,Female,56,3,0.0,1,0,0,0,0,4,SILVER,731
94,16203656,423,Kentucky,Male,44,9,63117.72,1,0,0,1,0,4,PLATINUM,771
95,19574776,753,West Virginia,Female,39,9,0.0,3,0,0,1,0,5,DIAMOND,243
96,15531687,551,North Carolina,Male,30,6,51124.48,1,1,1,0,0,2,PLATINUM,438
97,19848253,412,North Carolina,Male,40,6,122275.61,2,1,0,0,0,4,SILVER,97
98,15081321,708,Missouri,Male,36,4,157321.26,3,1,0,0,0,5,GOLD,5
99,17777784,574,Idaho,Female,43,4,110400.0,2,1,1,0,0,3,SILVER,840
100,19674546,662,Delaware,Female,32,5,0.0,3,1,0,0,0,3,SILVER,376
101,16843478,459,Nebraska,Female,27,7,64198.11,2,0,1,0,1,1,GOLD,990
102,16749913,451,South Carolina,Male,37,6,0.0,1,1,0,1,1,4,SILVER,567
103,16881666,441,Illinois,Female,53,7,115422.89,1,0,1,0,0,5,PLATINUM,129
104,17117605,406,California,Female,45,3,31682.15,1,1,0,0,1,4,GOLD,900
105,19047030,779,Arkansas,Male,48,3,0.0,3,1,1,0,1,1,SILVER,496
106,19747416,836,Illinois,Female,49,3,0.0,2,1,1,1,0,1,DIAMOND,508
107,19842896,427,New Hampshire,Female,46,1,22701.92,1,1,0,1,0,5,GOLD,987
108,16950265,473,Oregon,Female,46,1,0.0,1,0,1,0,0,5,GOLD,992
109,16897854,424,Vermont,Male,42,5,77915.49,2,1,1,0,0,2,SILVER,52
110,16758413,844,North Carolina,Female,62,0,167855.5,2,1,1,0,1,5,PLATINUM,64
111,15562794,654,Oklahoma,Female,18,10,138526.19,2,1,1,1,0,3,GOLD,571
112,19770852,378,South Carolina,Female,31,2,286790.41,1,0,1,0,0,5,GOLD,535
113,16869380,682,Iowa,Male,30,1,9473.41,2,1,0,0,0,2,SILVER,681
114,18794938,450,Utah,Female,35,2,66399.74,1,1,0,0,0,3,GOLD,468
115,15667905,760,Georgia,Male,34,4,152699.67,1,1,0,0,0,1,DIAMOND,205
116,16333012,551,South Dakota,Male,37,2,0.0,1,1,0,0,0,4,SILVER,756
117,18243583,645,Indiana,Female,44,10,170911.79,4,1,0,0,0,5,SILVER,952
118,15514593,465,Wisconsin,Male,55,2,46799.94,1,0,0,0,1,3,SILVER,914
119,19474864,655,Illinois,Female,46,10,56366.56,1,0,1,0,0,1,GOLD,197
120,15003069,603,Rhode Island,Female,18,7,25677.37,2,1,1,1,0,4,GOLD,138
121,17104350,562,Maine,Male,38,0,0.0,1,1,1,1,1,2,SILVER,119
122,19696777,459,Connecticut,Male,48,8,33276.84,1,0,0,0,0,2,GOLD,77
123,16103167,431,Rhode Island,Female,34,6,101748.55,1,1,1,0,0,5,SILVER,495
124,17244024,649,Maryland,Male,27,6,84055.03,1,1,1,0,0,2,GOLD,521
125,15054735,357,Montana,Female,43,0,0.0,2,1,1,0,1,1,GOLD,745
126,18139236,802,Nebraska,Female,51,6,55940.23,1,0,0,0,0,1,GOLD,834
127,15364165,447,Maryland,Female,53,10,0.0,1,1,1,0,0,2,SILVER,904
128,18629731,835,Hawaii,Female,37,1,0.0,2,0,1,0,0,5,GOLD,485
129,15605577,734,New York,Female,47,9,64511.67,2,1,0,0,0,4,GOLD,100
130,17200783,787,Vermont,Female,26,4,189194.67,3,1,0,0,1,1,GOLD,878
131,15225264,591,Nebraska,Male,37,2,0.0,3,1,0,0,1,5,GOLD,426
132,17736666,525,Louisiana,Male,33,10,182873.27,3,1,1,1,1,1,GOLD,882
133,18510470,541,North Carolina,Female,33,0,173096.12,1,1,1,1,1,5,PLATINUM,659
134,16097475,399,New Jersey,Female,50,9,0.0,3,0,0,0,0,5,GOLD,443
135,17137270,480,Nebraska,Male,55,9,203271.55,2,1,1,0,0,1,SILVER,883
136,19908322,463,Arkansas,Male,47,1,22791.06,1,1,0,0,0,5,GOLD,893
137,16719351,554,Nebraska,Male,36,4,0.0,2,1,1,0,0,5,PLATINUM,933
138,18765357,643,Oklahoma,Female,32,4,91039.96,1,1,1,0,0,4,SILVER,495
139,18917123,539,Arizona,Female,24,5,147713.6,2,1,0,0,0,3,SILVER,953
140,16194436,425,Indiana,Female,56,4,25730.01,4,0,1,1,0,4,DIAMOND,976
141,19978589,590,Connecticut,Female,53,4,69804.98,4,1,1,1,1,1,PLATINUM,611
142,16947906,666,Idaho,Male,45,0,120545.41,3,0,1,0,1,5,GOLD,138
143,16393476,803,Delaware,Female,49,9,120271.58,3,1,0,0,0,2,GOLD,775
144,19273450,589,Georgia,Female,31,1,49832.38,1,0,0,1,0,4,SILVER,210
145,19177335,599,Missouri,Male,45,10,101792.59,1,1,0,0,0,2,GOLD,67
146,16634292,405,New York,Male,20,3,116734.48,2,1,0,0,0,1,GOLD,391
147,15210029,715,New York,Female,34,3,49400.88,1,1,0,0,0,3,GOLD,779
148,18320225,584,Colorado,Female,40,0,0.0,2,1,0,0,0,2,GOLD,872
149,19132250,813,Pennsylvania,Male,49,8,0.0,2,1,0,0,0,1,GOLD,537
150,18325304,606,New Mexico,Female,42,4,103676.9,1,1,1,1,0,1,SILVER,759
151,18508514,508,Mississippi,Male,53,5,106950.84,1,1,1,0,1,1,PLATINUM,475
152,17575186,468,Arkansas,Female,43,6,295061.99,2,1,0,0,0,2,GOLD,667
153,15225557,375,Tennessee,Female,53,5,0.0,3,1,0,0,0,4,SILVER,816
154,19319591,615,Georgia,Male,41,6,43418.61,3,0,0,0,0,4,SILVER,243
155,16537437,653,Alaska,Male,41,0,0.0,3,0,1,0,0,4,GOLD,862
156,18153152,366,Mississippi,Male,39,4,0.0,1,1,0,0,0,1,PLATINUM,424
157,18123765,765,Wisconsin,Female,38,5,0.0,3,1,1,0,0,3,GOLD,544
158,15246603,445,Alaska,Female,50,2,61704.32,1,1,1,0,0,2,SILVER,252
159,15496960,369,Alaska,Female,37,5,61508.03,2,1,0,0,0,1,PLATINUM,277
160,15886113,355,Alaska,Male,30,3,47339.09,2,1,1,0,0,3,GOLD,200
161,19479201,666,Missouri,Female,24,10,43888.46,1,1,1,1,0,4,PLATINUM,226
162,17052382,735,Minnesota,Female,40,6,94695.17,4,0,0,0,1,4,GOLD,891
163,16227553,361,New Hampshire,Female,49,6,49678.73,3,0,1,0,0,2,SILVER,405
164,18144899,648,Hawaii,Female,45,0,166134.82,3,1,1,0,0,1,GOLD,531
165,18500336,367,Ohio,Female,43,4,318054.37,2,1,0,1,0,3,GOLD,104
166,15473875,352,Colorado,Female,30,9,148841.47,2,1,1,0,1,5,GOLD,267
167,18050439,513,Michigan,Male,28,3,0.0,3,0,0,0,0,5,GOLD,954
168,16256464,496,Wyoming,Male,24,3,122074.09,3,1,0,0,0,2,GOLD,588
169,15811685,360,Illinois,Male,40,1,0.0,2,1,0,0,0,1,SILVER,971
170,18860903,813,North Dakota,Male,36,4,0.0,2,1,0,0,0,5,SILVER,892
171,19900705,702,Maine,Female,35,8,62795.07,4,0,1,0,0,1,SILVER,887
172,15867573,647,Louisiana,Male,35,2,157405.26,2,0,0,0,1,5,SILVER,375
173,15320857,437,Nebraska,Female,52,8,41935.8,1,0,1,0,0,3,SILVER,131
174,17712084,599,New Jersey,Female,18,10,133470.66,1,1,1,0,0,3,DIAMOND,607
175,15358679,829,Oklahoma,Female,34,3,32682.54,1,0,1,1,1,2,GOLD,129
176,18740212,506,Hawaii,Female,43,2,0.0,1,1,0,0,0,5,GOLD,632
177,15162777,597,Delaware,Male,45,1,56166.91,1,1,0,1,0,1,GOLD,117
178,18680972,599,Michigan,Female,44,4,95443.34,1,1,0,1,0,1,SILVER,39
179,19478025,718,Maine,Male,30,8,99160.17,1,1,0,0,0,4,GOLD,858
180,18153700,602,Mississippi,Female,41,7,180597.31,1,1,0,0,0,1,SILVER,223
181,16026865,520,Louisiana,Female,45,8,35035.52,3,1,1,1,0,5,PLATINUM,667
182,18712401,774,Ohio,Female,49,4,137104.39,1,1,1,0,0,2,GOLD,446
183,19053910,818,New Jersey,Male,50,2,0.0,2,1,0,0,0,3,DIAMOND,863
184,18152929,356,Michigan,Male,36,4,123459.55,2,1,1,0,0,1,PLATINUM,884
185,15268564,592,Delaware,Male,46,8,71852.24,2,1,0,0,0,4,SILVER,795
186,19291453,367,Tennessee,Female,54,2,142010.87,3,1,0,0,0,5,SILVER,929
187,17954340,737,Idaho,Female,38,7,131457.9,1,1,1,0,1,3,GOLD,802
188,15250221,777,Mississippi,Female,29,6,64629.27,2,1,1,0,0,4,SILVER,483
189,17360145,448,Oregon,Male,44,5,0.0,2,1,1,0,0,5,GOLD,766
190,19405833,748,South Dakota,Male,56,10,0.0,1,1,0,0,0,2,SILVER,191
191,15804426,789,Alabama,Male,47,1,83899.74,1,0,1,0,1,1,GOLD,641
192,19001781,833,Alabama,Female,35,8,152133.0,1,0,0,0,0,4,PLATINUM,563
193,17276451,460,Delaware,Male,66,8,61255.14,1,1,1,1,0,4,GOLD,430
194,16536264,785,Michigan,Male,35,4,0.0,1,1,0,0,0,3,PLATINUM,835
195,16118542,782,Colorado,Female,26,0,146641.08,2,1,0,0,0,2,GOLD,672
196,19319433,486,Kentucky,Male,40,10,150595.06,2,1,0,0,1,4,GOLD,636
197,19966291,505,Illinois,Male,44,5,114295.41,2,1,1,0,1,5,PLATINUM,369
198,16355884,765,Virginia,Female,29,8,141136.41,1,0,1,0,0,2,SILVER,697
199,15815093,353,Florida,Male,39,0,0.0,1,1,0,0,0,3,SILVER,534
200,18343104,707,Illinois,Male,57,6,59668.99,3,1,0,0,0,4,SILVER,620
201,17785595,801,Washington,Male,33,2,63188.74,1,0,1,0,0,4,SILVER,126
202,18516291,425,Missouri,Male,34,4,0.0,2,1,1,0,0,5,GOLD,531
203,17086247,511,Ohio,Male,27,4,88721.97,3,1,0,0,0,3,SILVER,759
204,17292999,756,Delaware,Male,41,5,23243.08,1,1,0,0,0,3,SILVER,653
205,15793638,734,Rhode Island,Female,34,4,48705.61,2,0,1,0,0,2,SILVER,606
206,16669582,500,Pennsylvania,Male,41,0,71363.66,2,1,1,0,0,4,SILVER,128
207,16694941,787,Indiana,Male,54,8,79909.03,1,1,1,0,0,2,SILVER,806
208,16754090,389,Texas,Male,58,4,44298.12,2,0,0,1,0,2,DIAMOND,939
209,17491086,406,Ohio,Female,33,7,3430.95,2,1,0,0,0,1,PLATINUM,541
210,16372683,441,Texas,Male,35,0,63154.11,1,1,1,0,1,5,GOLD,228
211,17688229,498,New Mexico,Female,29,7,105854.6,2,0,0,0,0,4,GOLD,722
212,18552415,739,Louisiana,Female,53,2,166357.34,2,1,0,0,1,3,GOLD,686
213,18901722,380,Kentucky,Male,47,1,143922.53,2,1,1,0,0,2,SILVER,235
214,17879862,470,Texas,Male,36,0,70946.61,1,0,1,0,1,2,SILVER,155
215,17521863,412,North Dakota,Female,44,1,0.0,1,1,1,0,0,4,GOLD,571
216,16301234,544,Arkansas,Male,29,3,55603.37,1,1,0,0,0,5,SILVER,960
217,16629589,409,Alabama,Male,25,3,143700.79,2,1,1,0,0,5,GOLD,385
218,17513281,461,Maine,Female,49,0,51860.57,1,0,0,0,0,2,GOLD,999
219,19488294,694,Louisiana,Female,54,6,0.0,1,0,1,0,0,1,GOLD,743
220,18690719,638,Iowa,Female,47,1,141095.17,1,0,1,0,0,1,PLATINUM,969
221,15937377,560,Wisconsin,Male,49,7,16905.46,2,1,0,1,0,2,PLATINUM,833
222,19295095,498,Florida,Male,37,2,294168.22,1,0,0,0,0,4,DIAMOND,969
223,17859186,657,Minnesota,Female,26,8,119459.08,1,1,1,1,0,1,GOLD,200
224,18000533,624,Hawaii,Female,55,5,119167.02,1,0,0,0,0,4,SILVER,95
225,18315340,797,New Jersey,Male,33,6,83590.89,2,0,1,0,0,1,PLATINUM,921
226,17528372,641,Rhode Island,Female,42,10,124555.29,3,1,1,0,0,2,PLATINUM,162
227,15864282,364,Montana,Female,46,8,114723.65,2,0,0,1,0,1,GOLD,83
228,19200242,527,Washington,Female,41,9,181490.84,2,1,1,0,0,1,SILVER,191
229,16508666,521,New Mexico,Male,61,5,82264.86,2,0,0,0,0,5,GOLD,332
230,16630250,701,Wisconsin,Female,47,9,51486.92,2,1,1,0,0,3,DIAMOND,758
231,17607334,784,Connecticut,Female,32,8,84532.28,1,1,1,0,0,1,GOLD,908
232,15553368,507,Montana,Male,48,6,92373.04,1,0,1,0,0,1,GOLD,876
233,16657456,828,Texas,Male,44,3,21537.55,2,1,1,0,0,2,SILVER,990
234,17955210,405,Illinois,Female,55,2,102222.52,2,0,0,0,1,1,GOLD,245
235,15410934,701,West Virginia,Female,52,6,217375.14,2,0,0,0,0,3,PLATINUM,981
236,18251078,487,Ohio,Female,43,0,101705.85,1,0,1,0,0,5,SILVER,423
237,19900951,582,Tennessee,Male,27,4,0.0,1,0,1,0,0,2,SILVER,79
238,18998026,446,Iowa,Male,49,7,79960.06,3,1,1,0,0,3,GOLD,613
239,15968217,520,West Virginia,Female,34,9,152593.23,1,1,1,0,0,4,GOLD,828
240,17624289,819,Mississippi,Male,41,4,18160.76,2,1,0,0,0,3,PLATINUM,610
241,18423986,764,Wisconsin,Female,43,2,19801.43,1,1,1,0,0,4,GOLD,940
242,15031451,745,Colorado,Male,38,3,71554.63,1,0,1,1,1,2,PLATINUM,201
243,19456024,539,Ohio,Male,38,1,0.0,1,0,1,1,0,1,GOLD,20
244,18289611,604,Louisiana,Female,39,1,111090.91,1,0,0,1,1,4,SILVER,151
245,18724005,730,Colorado,Male,44,1,29605.72,1,0,0,0,0,3,SILVER,959
246,17824923,832,Kansas,Female,53,5,0.0,2,1,0,0,0,4,SILVER,162
247,19307669,535,Oklahoma,Female,43,6,51335.37,3,1,1,0,0,5,GOLD,546
248,18169001,686,Indiana,Male,44,2,45770.83,1,1,0,1,0,3,PLATINUM,216
249,17033154,571,Maryland,Female,30,6,0.0,4,1,1,0,0,2,SILVER,719
250,17915299,678,Rhode Island,Female,18,7,154191.08,2,1,0,0,0,5,SILVER,39
251,19945581,518,Arizona,Male,42,3,0.0,1,0,0,0,0,4,SILVER,836
252,18853634,675,Washington,Female,45,3,0.0,1,1,0,0,0,1,PLATINUM,741
253,17486249,793,Nevada,Female,47,8,80381.02,1,0,0,0,0,3,SILVER,403
254,17243961,806,Florida,Female,29,4,0.0,1,1,1,1,0,3,SILVER,196
255,17287430,766,New Jersey,Male,39,8,38264.98,1,0,1,0,0,1,SILVER,393
256,19374276,352,Mississippi,Female,57,3,78506.07,1,1,0,0,0,3,GOLD,918
257,19216300,442,Pennsylvania,Male,40,7,0.0,2,0,1,1,0,2,DIAMOND,381
258,17110847,605,New Hampshire,Female,37,0,50871.05,1,1,0,0,0,1,SILVER,896
259,17902375,773,South Carolina,Male,28,10,89685.13,3,1,0,0,0,3,SILVER,691
260,17189361,780,North Carolina,Female,37,4,121734.41,1,1,0,1,0,5,PLATINUM,186
261,18155636,405,Pennsylvania,Male,49,0,0.0,2,1,1,0,0,4,SILVER,105
262,17703880,382,Vermont,Male,60,5,113625.85,1,1,0,0,0,3,SILVER,694
263,19444638,527,Oregon,Male,23,5,0.0,1,1,1,0,0,1,SILVER,859
264,19831114,529,Rhode Island,Female,36,4,58135.15,1,1,1,0,0,4,DIAMOND,122
265,16416609,723,North Carolina,Female,18,2,27261.91,3,0,0,0,0,1,SILVER,763
266,18900425,655,Rhode Island,Female,18,10,52450.77,1,1,1,1,0,5,GOLD,739
267,17045030,617,Pennsylvania,Male,37,1,98156.7,1,1,0,1,0,1,GOLD,168
268,17673437,753,Oklahoma,Male,27,10,127411.75,2,0,1,0,0,4,DIAMOND,527
269,16466126,598,Nevada,Female,48,9,80525.8,2,0,1,1,0,1,GOLD,844
270,17807621,605,Kentucky,Male,39,2,137238.88,3,1,0,1,0,3,PLATINUM,535
271,15016607,485,Colorado,Female,37,9,119704.44,1,1,1,0,0,3,DIAMOND,581
272,17967014,410,Rhode Island,Male,49,3,55948.29,1,1,0,0,0,2,PLATINUM,786
273,16608556,753,Wyoming,Female,53,10,86572.61,3,0,1,0,0,2,SILVER,894
274,16743291,681,Kansas,Female,42,7,219867.39,2,0,1,1,0,2,GOLD,680
275,16040624,643,California,Male,62,3,78875.48,2,0,1,0,0,3,GOLD,232
276,19320402,412,Alabama,Male,43,10,0.0,2,1,1,0,0,4,SILVER,922
277,18043103,696,Idaho,Female,36,9,174339.37,4,1,0,1,0,2,SILVER,79
278,18104748,520,Montana,Male,41,9,145844.89,2,0,1,0,0,4,GOLD,986
279,18797588,603,Arkansas,Female,41,10,68905.92,1,0,0,1,1,1,PLATINUM,177
280,15462323,640,Arizona,Male,36,8,93137.33,1,0,1,1,0,4,PLATINUM,943
281,15029446,666,Alaska,Female,31,10,132817.7,2,1,1,0,0,5,DIAMOND,43
282,17976083,637,Hawaii,Female,49,5,72060.16,2,1,0,0,0,2,SILVER,980
283,17988711,495,Vermont,Male,44,2,47440.76,2,1,1,0,0,5,SILVER,210
284,17815611,685,Wyoming,Female,40,5,145688.76,3,1,1,1,0,2,GOLD,158
285,16548906,822,New Mexico,Female,18,1,79440.7,2,0,1,0,0,2,PLATINUM,757
286,18862787,482,New Hampshire,Male,29,9,0.0,1,0,0,0,0,4,SILVER,614
287,17981215,620,Tennessee,Female,18,4,0.0,4,1,1,1,0,5,PLATINUM,472
288,17272000,809,New Mexico,Male,45,2,0.0,1,1,1,1,0,5,GOLD,201
289,18501645,780,California,Female,34,10,133446.49,2,1,1,1,0,1,SILVER,515
290,18980449,431,Arizona,Male,52,2,82222.69,1,1,1,0,0,2,SILVER,867
291,15623095,511,South Carolina,Male,24,8,143882.5,1,1,1,0,1,4,GOLD,564
292,17702689,544,Montana,Female,39,4,125636.66,1,1,1,0,1,5,DIAMOND,752
293,16226075,806,Montana,Male,29,3,155942.97,1,1,1,0,0,2,GOLD,639
294,15128329,786,North Dakota,Female,38,7,91448.97,2,1,0,0,0,5,GOLD,846
295,19439472,827,North Dakota,Male,38,0,45770.26,2,1,0,0,0,3,PLATINUM,529
296,18428189,559,California,Female,34,7,33147.89,1,1,0,0,0,1,DIAMOND,812
297,19962100,431,Arizona,Female,53,7,0.0,3,1,1,0,0,4,PLATINUM,413
298,17583901,515,Arkansas,Female,56,3,18170.45,2,1,0,0,0,4,SILVER,532
299,19415104,678,Connecticut,Male,36,2,371877.84,3,1,1,0,1,3,PLATINUM,226
300,16567679,603,Alaska,Male,36,8,69200.01,1,1,0,1,0,3,GOLD,35
301,18827020,653,Washington,Female,40,5,127913.4,4,1,0,0,0,1,GOLD,883
302,19512338,357,Illinois,Male,41,7,86800.43,2,1,0,0,0,1,SILVER,655
303,17829166,546,New Hampshire,Male,49,6,214387.32,1,1,0,0,0,4,GOLD,437
304,16979649,466,Massachusetts,Male,50,3,82669.43,2,1,0,0,0,4,PLATINUM,514
305,16982493,766,Illinois,Male,29,10,152041.65,3,1,0,0,1,2,SILVER,824
306,17316920,756,Florida,Female,37,4,38899.82,1,1,1,0,0,1,GOLD,70
307,15481379,700,Indiana,Female,27,7,297184.73,1,0,0,0,0,2,GOLD,567
308,18858552,849,Colorado,Male,41,2,33653.1,1,1,0,0,0,1,GOLD,123
309,15730299,785,Delaware,Male,49,7,0.0,1,0,0,0,0,5,SILVER,99
